Result,row.name,Longitude,Latitude,CXCL12,FBLN1,C3,S100A4,COL11A1
result.1,1,46.78218,26.9802,-0.143646016,1.56E-01,3.23E-01,2.04E-01,9.01E-02
result.1,2,53.71475,26.9802,-0.151328056,1.64E-01,3.21E-01,2.14E-01,9.90E-02
result.1,3,60.64733,26.9802,-0.159300098,1.74E-01,3.20E-01,2.26E-01,1.09E-01
result.1,4,67.5799,26.9802,-0.167593421,1.85E-01,3.19E-01,2.40E-01,1.19E-01
result.1,5,74.51247,26.9802,-0.176232655,1.97E-01,3.20E-01,2.56E-01,1.29E-01
result.1,6,81.44504,26.9802,-0.185244614,2.11E-01,3.20E-01,2.73E-01,1.39E-01
result.1,7,88.37762,26.9802,-0.194680757,2.23E-01,3.21E-01,2.91E-01,1.47E-01
result.1,8,95.31019,26.9802,-0.204646399,2.34E-01,3.19E-01,3.08E-01,1.52E-01
result.1,9,102.24276,26.9802,-0.215311469,2.42E-01,3.15E-01,3.22E-01,1.54E-01
result.1,10,109.17534,26.9802,-0.226867983,2.43E-01,3.07E-01,3.33E-01,1.51E-01
result.1,11,116.10791,26.9802,-0.239422675,2.36E-01,2.93E-01,3.40E-01,1.43E-01
result.1,12,123.04048,26.9802,-0.25286839,2.21E-01,2.74E-01,3.40E-01,1.31E-01
result.1,13,129.97305,26.9802,-0.266817727,1.96E-01,2.49E-01,3.35E-01,1.14E-01
result.1,14,136.90563,26.9802,-0.280654676,1.64E-01,2.20E-01,3.25E-01,9.50E-02
result.1,15,143.8382,26.9802,-0.293679765,1.27E-01,1.89E-01,3.09E-01,7.40E-02
result.1,16,150.77077,26.9802,-0.305267513,8.73E-02,1.57E-01,2.89E-01,5.16E-02
result.1,17,157.70335,26.9802,-0.314967299,4.66E-02,1.24E-01,2.64E-01,2.79E-02
result.1,18,164.63592,26.9802,-0.322529391,6.81E-03,9.22E-02,2.35E-01,2.99E-03
result.1,19,171.56849,26.9802,-0.327876135,-3.10E-02,6.21E-02,2.04E-01,-2.30E-02
result.1,20,178.50107,26.9802,-0.331047913,-6.60E-02,3.46E-02,1.71E-01,-4.96E-02
result.1,21,185.43364,26.9802,-0.332146705,-9.75E-02,1.04E-02,1.37E-01,-7.56E-02
result.1,22,192.36621,26.9802,-0.331289842,-1.25E-01,-9.47E-03,1.05E-01,-1.00E-01
result.1,23,199.29878,26.9802,-0.328577757,-1.49E-01,-2.44E-02,7.50E-02,-1.22E-01
result.1,24,206.23136,26.9802,-0.324073571,-1.68E-01,-3.39E-02,4.85E-02,-1.41E-01
result.1,25,213.16393,26.9802,-0.317790006,-1.83E-01,-3.77E-02,2.65E-02,-1.56E-01
result.1,26,220.0965,26.9802,-0.309680979,-1.95E-01,-3.55E-02,9.74E-03,-1.68E-01
result.1,27,227.02908,26.9802,-0.299641673,-2.02E-01,-2.77E-02,-1.54E-03,-1.76E-01
result.1,28,233.96165,26.9802,-0.287530364,-2.06E-01,-1.47E-02,-7.31E-03,-1.79E-01
result.1,29,240.89422,26.9802,-0.273227111,-2.07E-01,2.55E-03,-7.86E-03,-1.78E-01
result.1,30,247.82679,26.9802,-0.256728095,-2.04E-01,2.27E-02,-3.71E-03,-1.74E-01
result.1,31,254.75937,26.9802,-0.238248439,-1.99E-01,4.41E-02,4.45E-03,-1.67E-01
result.1,32,261.69194,26.9802,-0.218292436,-1.92E-01,6.49E-02,1.58E-02,-1.57E-01
result.1,33,268.62451,26.9802,-0.197655349,-1.84E-01,8.33E-02,2.96E-02,-1.45E-01
result.1,34,275.55709,26.9802,-0.177337129,-1.74E-01,9.80E-02,4.50E-02,-1.33E-01
result.1,35,282.48966,26.9802,-0.158373614,-1.64E-01,1.08E-01,6.11E-02,-1.21E-01
result.1,36,289.42223,26.9802,-0.141628517,-1.53E-01,1.13E-01,7.71E-02,-1.10E-01
result.1,37,296.3548,26.9802,-0.127620272,-1.43E-01,1.14E-01,9.18E-02,-1.00E-01
result.1,38,303.28738,26.9802,-0.116441882,-1.32E-01,1.11E-01,1.05E-01,-9.22E-02
result.1,39,310.21995,26.9802,-0.107773187,-1.19E-01,1.05E-01,1.15E-01,-8.57E-02
result.1,40,317.15252,26.9802,-0.10094777,-1.05E-01,9.78E-02,1.25E-01,-8.04E-02
result.1,41,324.0851,26.9802,-0.095052277,-8.90E-02,9.08E-02,1.34E-01,-7.56E-02
result.1,42,331.01767,26.9802,-0.089058658,-6.94E-02,8.54E-02,1.45E-01,-7.07E-02
result.1,43,337.95024,26.9802,-0.081983586,-4.61E-02,8.27E-02,1.60E-01,-6.49E-02
result.1,44,344.88282,26.9802,-0.073053586,-1.90E-02,8.30E-02,1.80E-01,-5.75E-02
result.1,45,351.81539,26.9802,-0.061845634,1.13E-02,8.60E-02,2.05E-01,-4.80E-02
result.1,46,358.74796,26.9802,-0.048365511,4.40E-02,9.10E-02,2.34E-01,-3.61E-02
result.1,47,365.68053,26.9802,-0.033028124,7.78E-02,9.70E-02,2.66E-01,-2.20E-02
result.1,48,372.61311,26.9802,-0.016531995,1.12E-01,1.03E-01,2.98E-01,-5.94E-03
result.1,49,379.54568,26.9802,0.000332973,1.45E-01,1.10E-01,3.30E-01,1.11E-02
result.1,50,386.47825,26.9802,0.016869938,1.76E-01,1.17E-01,3.59E-01,2.82E-02
result.1,51,393.41083,26.9802,0.032580938,2.05E-01,1.25E-01,3.84E-01,4.42E-02
result.1,52,400.3434,26.9802,0.047166753,2.32E-01,1.33E-01,4.04E-01,5.79E-02
result.1,53,407.27597,26.9802,0.060450509,2.55E-01,1.42E-01,4.18E-01,6.84E-02
result.1,54,414.20854,26.9802,0.072292516,2.75E-01,1.52E-01,4.25E-01,7.50E-02
result.1,55,421.14112,26.9802,0.082559881,2.90E-01,1.61E-01,4.24E-01,7.75E-02
result.1,56,428.07369,26.9802,0.09117188,3.02E-01,1.69E-01,4.18E-01,7.63E-02
result.1,57,435.00626,26.9802,0.098192791,3.09E-01,1.77E-01,4.08E-01,7.20E-02
result.1,58,441.93884,26.9802,0.103914292,3.13E-01,1.84E-01,3.96E-01,6.59E-02
result.1,59,448.87141,26.9802,0.10886664,3.14E-01,1.91E-01,3.84E-01,5.92E-02
result.1,60,455.80398,26.9802,0.113734149,3.14E-01,2.00E-01,3.74E-01,5.29E-02
result.1,61,462.73655,26.9802,0.119218621,3.13E-01,2.12E-01,3.66E-01,4.78E-02
result.1,62,469.66913,26.9802,0.125931028,3.12E-01,2.27E-01,3.62E-01,4.42E-02
result.1,63,476.6017,26.9802,0.134348901,3.11E-01,2.45E-01,3.60E-01,4.20E-02
result.1,64,483.53427,26.9802,0.144802429,3.10E-01,2.66E-01,3.61E-01,4.12E-02
result.1,65,490.46685,26.9802,0.157436355,3.09E-01,2.90E-01,3.64E-01,4.17E-02
result.1,66,497.39942,26.9802,0.17215047,3.09E-01,3.14E-01,3.68E-01,4.37E-02
result.1,67,504.33199,26.9802,0.188574021,3.10E-01,3.38E-01,3.72E-01,4.74E-02
result.1,68,511.26457,26.9802,0.206117404,3.12E-01,3.60E-01,3.75E-01,5.27E-02
result.1,69,518.19714,26.9802,0.224088022,3.15E-01,3.81E-01,3.78E-01,5.90E-02
result.1,70,525.12971,26.9802,0.24181715,3.19E-01,4.01E-01,3.80E-01,6.60E-02
result.1,71,532.06228,26.9802,0.258750384,3.24E-01,4.18E-01,3.81E-01,7.31E-02
result.1,72,538.99486,26.9802,0.274486077,3.29E-01,4.33E-01,3.80E-01,7.97E-02
result.1,73,545.92743,26.9802,0.288772392,3.35E-01,4.47E-01,3.78E-01,8.56E-02
result.1,74,552.86,26.9802,0.30148223,3.41E-01,4.60E-01,3.75E-01,9.07E-02
result.1,75,559.79258,26.9802,0.312581745,3.47E-01,4.72E-01,3.71E-01,9.47E-02
result.1,76,566.72515,26.9802,0.322101284,3.52E-01,4.82E-01,3.66E-01,9.78E-02
result.1,77,573.65772,26.9802,0.330112168,3.58E-01,4.92E-01,3.61E-01,9.99E-02
result.1,78,580.59029,26.9802,0.33670967,3.63E-01,5.01E-01,3.55E-01,1.01E-01
result.1,79,587.52287,26.9802,0.342001224,3.67E-01,5.10E-01,3.48E-01,1.02E-01
result.1,80,594.45544,26.9802,0.34609863,3.71E-01,5.18E-01,3.42E-01,1.02E-01
result.1,81,46.78218,33.59788,-0.150553786,1.45E-01,3.09E-01,1.96E-01,9.09E-02
result.1,82,53.71475,33.59788,-0.158392282,1.54E-01,3.07E-01,2.07E-01,1.01E-01
result.1,83,60.64733,33.59788,-0.166552097,1.65E-01,3.06E-01,2.20E-01,1.13E-01
result.1,84,67.5799,33.59788,-0.175070151,1.78E-01,3.07E-01,2.36E-01,1.26E-01
result.1,85,74.51247,33.59788,-0.183962603,1.94E-01,3.10E-01,2.55E-01,1.39E-01
result.1,86,81.44504,33.59788,-0.193231417,2.11E-01,3.13E-01,2.77E-01,1.52E-01
result.1,87,88.37762,33.59788,-0.202902717,2.29E-01,3.16E-01,2.99E-01,1.63E-01
result.1,88,95.31019,33.59788,-0.213098773,2.45E-01,3.18E-01,3.21E-01,1.72E-01
result.1,89,102.24276,33.59788,-0.224100731,2.58E-01,3.17E-01,3.41E-01,1.75E-01
result.1,90,109.17534,33.59788,-0.23631335,2.64E-01,3.11E-01,3.56E-01,1.73E-01
result.1,91,116.10791,33.59788,-0.250071355,2.59E-01,2.97E-01,3.65E-01,1.63E-01
result.1,92,123.04048,33.59788,-0.26536155,2.42E-01,2.75E-01,3.67E-01,1.48E-01
result.1,93,129.97305,33.59788,-0.281660462,2.13E-01,2.47E-01,3.61E-01,1.28E-01
result.1,94,136.90563,33.59788,-0.298032993,1.75E-01,2.13E-01,3.49E-01,1.04E-01
result.1,95,143.8382,33.59788,-0.31342684,1.30E-01,1.76E-01,3.31E-01,7.99E-02
result.1,96,150.77077,33.59788,-0.326962682,8.21E-02,1.39E-01,3.07E-01,5.44E-02
result.1,97,157.70335,33.59788,-0.338082054,3.44E-02,1.01E-01,2.78E-01,2.77E-02
result.1,98,164.63592,33.59788,-0.346549756,-1.15E-02,6.41E-02,2.44E-01,-8.61E-04
result.1,99,171.56849,33.59788,-0.352375435,-5.45E-02,2.93E-02,2.07E-01,-3.13E-02
result.1,100,178.50107,33.59788,-0.355713381,-9.38E-02,-2.61E-03,1.67E-01,-6.28E-02
result.1,101,185.43364,33.59788,-0.356773752,-1.29E-01,-3.07E-02,1.27E-01,-9.40E-02
result.1,102,192.36621,33.59788,-0.355759355,-1.59E-01,-5.37E-02,8.82E-02,-1.23E-01
result.1,103,199.29878,33.59788,-0.352828884,-1.85E-01,-7.09E-02,5.22E-02,-1.49E-01
result.1,104,206.23136,33.59788,-0.348078116,-2.05E-01,-8.17E-02,2.06E-02,-1.71E-01
result.1,105,213.16393,33.59788,-0.34152749,-2.21E-01,-8.55E-02,-5.32E-03,-1.89E-01
result.1,106,220.0965,33.59788,-0.333106417,-2.32E-01,-8.22E-02,-2.46E-02,-2.02E-01
result.1,107,227.02908,33.59788,-0.322634708,-2.39E-01,-7.19E-02,-3.71E-02,-2.10E-01
result.1,108,233.96165,33.59788,-0.309827639,-2.42E-01,-5.50E-02,-4.27E-02,-2.14E-01
result.1,109,240.89422,33.59788,-0.294370033,-2.42E-01,-3.27E-02,-4.21E-02,-2.12E-01
result.1,110,247.82679,33.59788,-0.276072415,-2.38E-01,-6.52E-03,-3.58E-02,-2.06E-01
result.1,111,254.75937,33.59788,-0.255057814,-2.31E-01,2.13E-02,-2.48E-02,-1.96E-01
result.1,112,261.69194,33.59788,-0.231900573,-2.22E-01,4.80E-02,-1.01E-02,-1.83E-01
result.1,113,268.62451,33.59788,-0.207658234,-2.11E-01,7.13E-02,7.22E-03,-1.67E-01
result.1,114,275.55709,33.59788,-0.183760681,-2.00E-01,8.93E-02,2.62E-02,-1.51E-01
result.1,115,282.48966,33.59788,-0.161745035,-1.89E-01,1.01E-01,4.60E-02,-1.36E-01
result.1,116,289.42223,33.59788,-0.142896555,-1.77E-01,1.06E-01,6.54E-02,-1.22E-01
result.1,117,296.3548,33.59788,-0.127952582,-1.67E-01,1.05E-01,8.29E-02,-1.11E-01
result.1,118,303.28738,33.59788,-0.117005515,-1.56E-01,9.89E-02,9.70E-02,-1.02E-01
