Points,Longitude,Latitude,HALLMARK_ANGIOGENESIS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_P53_PATHWAY,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_DNA_REPAIR,Max,P
1,46.78218,26.9802,0.411768023,-6.77923869,-4.597740372,-0.086528225,-3.19E+00,-2.146510927,-3.627406855,-1.84308256,0.411768023,HALLMARK_ANGIOGENESIS
2,53.71475,26.9802,0.478582899,-6.691695198,-4.495335008,0.291441134,-3.08E+00,-2.026702348,-3.556112839,-1.73366898,0.478582899,HALLMARK_ANGIOGENESIS
3,60.64733,26.9802,0.554011657,-6.583929959,-4.366854095,0.713490083,-2.94E+00,-1.876242346,-3.470025979,-1.60062704,0.713490083,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
4,67.5799,26.9802,0.636054088,-6.469730708,-4.223342728,1.165316605,-2.78E+00,-1.704723648,-3.374531483,-1.45344614,1.165316605,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
5,74.51247,26.9802,0.721317203,-6.36938286,-4.084957599,1.624489205,-2.63E+00,-1.527845843,-3.278060863,-1.30680504,1.624489205,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
6,81.44504,26.9802,0.80455876,-6.310960609,-3.982890042,2.057840554,-2.49E+00,-1.369136808,-3.192883277,-1.18151373,2.057840554,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
7,88.37762,26.9802,0.878294965,-6.330802928,-3.954512802,2.41896978,-2.40E+00,-1.261136217,-3.135626532,-1.1047519,2.41896978,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
8,95.31019,26.9802,0.932760918,-6.471910567,-4.045841541,2.647496356,-2.40E+00,-1.244784063,-3.126949873,-1.10887833,2.647496356,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
9,102.24276,26.9802,0.956651115,-6.778879932,-4.308037089,2.672832855,-2.51E+00,-1.365452422,-3.189665645,-1.22816479,2.672832855,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
10,109.17534,26.9802,0.938946386,-7.289287629,-4.781291023,2.424884297,-2.77E+00,-1.665034739,-3.34506043,-1.4935387,2.424884297,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
11,116.10791,26.9802,0.871538163,-8.02435423,-5.490582268,1.85054024,-3.20E+00,-2.172188233,-3.608370789,-1.92679272,1.85054024,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
12,123.04048,26.9802,0.751500187,-8.984145819,-6.437791023,0.92902775,-3.81E+00,-2.895548796,-3.98557742,-2.53685138,0.92902775,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
13,129.97305,26.9802,0.581534479,-10.15112719,-7.60399881,-0.323627514,-4.58E+00,-3.824258664,-4.473456194,-3.32012782,0.581534479,HALLMARK_ANGIOGENESIS
14,136.90563,26.9802,0.368043258,-11.50009551,-8.963418841,-1.865314325,-5.51E+00,-4.935365711,-5.062669848,-4.26437891,0.368043258,HALLMARK_ANGIOGENESIS
15,143.8382,26.9802,0.117970848,-13.00711078,-10.48955848,-3.646896576,-6.57E+00,-6.202338307,-5.741275313,-5.35274568,0.117970848,HALLMARK_ANGIOGENESIS
16,150.77077,26.9802,-0.163506864,-14.650627,-12.15688844,-5.626495088,-7.73E+00,-7.598458862,-6.495809256,-6.56465565,0,HALLMARK_ANGIOGENESIS
17,157.70335,26.9802,-0.473052937,-16.40455424,-13.93340271,-7.770456066,-8.98E+00,-9.09380209,-7.309454722,-7.87326422,0,HALLMARK_ANGIOGENESIS
18,164.63592,26.9802,-0.807196355,-18.22940347,-15.77585146,-10.0426997,-1.03E+01,-10.64984928,-8.159400177,-9.24226263,0,HALLMARK_ANGIOGENESIS
19,171.56849,26.9802,-1.159790434,-20.06867676,-17.62643661,-12.39149093,-1.16E+01,-12.21699039,-9.016091767,-10.62543453,0,HALLMARK_ANGIOGENESIS
20,178.50107,26.9802,-1.520650067,-21.85347475,-19.41706709,-14.74338966,-1.29E+01,-13.73737165,-9.845540758,-11.97031496,0,HALLMARK_ANGIOGENESIS
21,185.43364,26.9802,-1.876230068,-23.5128478,-21.08003032,-17.00861353,-1.40E+01,-15.15171761,-10.61371841,-13.22463001,0,HALLMARK_ANGIOGENESIS
22,192.36621,26.9802,-2.211777989,-24.98456267,-22.55517505,-19.09419528,-1.50E+01,-16.40664851,-11.29095002,-14.34277537,0,HALLMARK_ANGIOGENESIS
23,199.29878,26.9802,-2.513652282,-26.22206737,-23.797219,-20.91749178,-1.59E+01,-17.45974557,-11.85469764,-15.29013598,0,HALLMARK_ANGIOGENESIS
24,206.23136,26.9802,-2.770913995,-27.19678565,-24.77835391,-22.41507025,-1.66E+01,-18.28192376,-12.29048291,-16.04472963,0,HALLMARK_ANGIOGENESIS
25,213.16393,26.9802,-2.976070592,-27.89743246,-25.4858981,-23.54644632,-1.70E+01,-18.85815596,-12.59170139,-16.59695581,0,HALLMARK_ANGIOGENESIS
26,220.0965,26.9802,-3.125197489,-28.32838657,-25.92321214,-24.29427175,-1.73E+01,-19.18743705,-12.75915392,-16.94843721,0,HALLMARK_ANGIOGENESIS
27,227.02908,26.9802,-3.217655049,-28.50809531,-26.10699939,-24.66247538,-1.74E+01,-19.28217146,-12.80063127,-17.11049723,0,HALLMARK_ANGIOGENESIS
28,233.96165,26.9802,-3.255573547,-28.46733894,-26.06609177,-24.67329526,-1.73E+01,-19.16682529,-12.73039392,-17.10237596,0,HALLMARK_ANGIOGENESIS
29,240.89422,26.9802,-3.243249284,-28.24650948,-25.83982182,-24.36362402,-1.71E+01,-18.87554533,-12.56811409,-16.94905032,0,HALLMARK_ANGIOGENESIS
30,247.82679,26.9802,-3.186529463,-27.89099676,-25.47416225,-23.78056475,-1.68E+01,-18.44829561,-12.33685055,-16.67847786,0,HALLMARK_ANGIOGENESIS
31,254.75937,26.9802,-3.092206722,-27.44461709,-25.01466717,-22.97610492,-1.63E+01,-17.92537767,-12.06003257,-16.31835003,0,HALLMARK_ANGIOGENESIS
32,261.69194,26.9802,-2.967474056,-26.94272453,-24.49836603,-22.0017887,-1.59E+01,-17.34141566,-11.75818754,-15.89302942,0,HALLMARK_ANGIOGENESIS
33,268.62451,26.9802,-2.819573012,-26.40802607,-23.94928621,-20.90529455,-1.54E+01,-16.72123972,-11.44672063,-15.42176938,0,HALLMARK_ANGIOGENESIS
34,275.55709,26.9802,-2.655749585,-25.85145393,-23.37949304,-19.7302884,-1.49E+01,-16.07991264,-11.13574046,-14.91892186,0,HALLMARK_ANGIOGENESIS
35,282.48966,26.9802,-2.483409313,-25.27744746,-22.79393276,-18.51846484,-1.44E+01,-15.42672009,-10.83166747,-14.39563467,0,HALLMARK_ANGIOGENESIS
36,289.42223,26.9802,-2.310057028,-24.68986679,-22.19545554,-17.31013156,-1.38E+01,-14.76994426,-10.53908356,-13.86143671,0,HALLMARK_ANGIOGENESIS
37,296.3548,26.9802,-2.142533323,-24.09430052,-21.58820653,-16.13973187,-1.33E+01,-14.11841408,-10.26112079,-13.32411048,0,HALLMARK_ANGIOGENESIS
38,303.28738,26.9802,-1.985448204,-23.49523756,-20.97442733,-15.02624958,-1.28E+01,-13.47819248,-9.997863585,-12.78749088,0,HALLMARK_ANGIOGENESIS
39,310.21995,26.9802,-1.839386377,-22.89030712,-20.34931679,-13.96304211,-1.23E+01,-12.84656412,-9.743857485,-12.24849246,0,HALLMARK_ANGIOGENESIS
40,317.15252,26.9802,-1.699877474,-22.26590823,-19.69758771,-12.9133612,-1.17E+01,-12.2078089,-9.486707726,-11.69562011,0,HALLMARK_ANGIOGENESIS
41,324.0851,26.9802,-1.557897975,-21.59786428,-18.99404023,-11.81528574,-1.12E+01,-11.53447361,-9.208342622,-11.11074967,0,HALLMARK_ANGIOGENESIS
42,331.01767,26.9802,-1.401957553,-20.85800017,-18.20916017,-10.59535695,-1.06E+01,-10.79478371,-8.889147017,-10.47431732,0,HALLMARK_ANGIOGENESIS
