Points,Longitude,Latitude,COL11A1,S100A4,CXCL12,COL1A1,C3,FBLN1,Sum,Genes
1,46.78218,26.9802,0,0,0,0,0,0,0,None
2,53.71475,26.9802,0,0,0,0,0,0,0,None
3,60.64733,26.9802,0,0,0,0,0,0,0,None
4,67.5799,26.9802,0,0,0,0,0,0,0,None
5,74.51247,26.9802,0,0,0,0,0,0,0,None
6,81.44504,26.9802,0,0,0,0,0,0,0,None
7,88.37762,26.9802,0,0,0,0,0,0,0,None
8,95.31019,26.9802,0,0,0,0,0,0,0,None
9,102.24276,26.9802,0,0,0,0,0,0,0,None
10,109.17534,26.9802,0,0,0,0,0,0,0,None
11,116.10791,26.9802,0,0,0,0,0,0,0,None
12,123.04048,26.9802,0,0,0,0,0,0,0,None
13,129.97305,26.9802,0,0,0,0,0,0,0,None
14,136.90563,26.9802,0,0,0,0,0,0,0,None
15,143.8382,26.9802,0,0,0,0,0,0,0,None
16,150.77077,26.9802,0,0,0,0,0,0,0,None
17,157.70335,26.9802,0,0,0,0,0,0,0,None
18,164.63592,26.9802,0,0,0,0,0,0,0,None
19,171.56849,26.9802,0,0,0,0,0,0,0,None
20,178.50107,26.9802,0,0,0,0,0,0,0,None
21,185.43364,26.9802,0,0,0,0,0,0,0,None
22,192.36621,26.9802,0,0,0,0,0,0,0,None
23,199.29878,26.9802,0,0,0,0,0,0,0,None
24,206.23136,26.9802,0,0,0,0,0,1,1,FBLN1
25,213.16393,26.9802,0,0,0,0,1,1,2,"C3,FBLN1"
26,220.0965,26.9802,0,0,0,0,1,1,2,"C3,FBLN1"
27,227.02908,26.9802,0,0,0,0,1,1,2,"C3,FBLN1"
28,233.96165,26.9802,0,0,0,0,1,1,2,"C3,FBLN1"
29,240.89422,26.9802,1,0,0,0,1,1,3,"COL11A1,C3,FBLN1"
30,247.82679,26.9802,1,0,0,1,1,1,4,"COL11A1,COL1A1,C3,FBLN1"
31,254.75937,26.9802,1,0,0,1,1,1,4,"COL11A1,COL1A1,C3,FBLN1"
32,261.69194,26.9802,1,0,0,1,1,1,4,"COL11A1,COL1A1,C3,FBLN1"
33,268.62451,26.9802,1,0,0,1,1,1,4,"COL11A1,COL1A1,C3,FBLN1"
34,275.55709,26.9802,1,0,0,1,1,1,4,"COL11A1,COL1A1,C3,FBLN1"
35,282.48966,26.9802,1,0,1,1,1,1,5,"COL11A1,CXCL12,COL1A1,C3,FBLN1"
36,289.42223,26.9802,1,0,1,1,1,1,5,"COL11A1,CXCL12,COL1A1,C3,FBLN1"
37,296.3548,26.9802,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
38,303.28738,26.9802,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
39,310.21995,26.9802,1,0,1,1,1,1,5,"COL11A1,CXCL12,COL1A1,C3,FBLN1"
40,317.15252,26.9802,1,0,1,1,1,1,5,"COL11A1,CXCL12,COL1A1,C3,FBLN1"
41,324.0851,26.9802,1,0,1,1,1,1,5,"COL11A1,CXCL12,COL1A1,C3,FBLN1"
42,331.01767,26.9802,1,1,1,1,1,1,6,"COL11A1,S100A4,CXCL12,COL1A1,C3,FBLN1"
43,337.95024,26.9802,1,1,1,1,1,1,6,"COL11A1,S100A4,CXCL12,COL1A1,C3,FBLN1"
44,344.88282,26.9802,1,0,1,1,1,1,5,"COL11A1,CXCL12,COL1A1,C3,FBLN1"
45,351.81539,26.9802,1,0,1,1,1,1,5,"COL11A1,CXCL12,COL1A1,C3,FBLN1"
46,358.74796,26.9802,1,0,1,1,1,1,5,"COL11A1,CXCL12,COL1A1,C3,FBLN1"
47,365.68053,26.9802,1,0,1,1,1,1,5,"COL11A1,CXCL12,COL1A1,C3,FBLN1"
48,372.61311,26.9802,1,0,1,1,1,1,5,"COL11A1,CXCL12,COL1A1,C3,FBLN1"
49,379.54568,26.9802,1,0,1,1,1,1,5,"COL11A1,CXCL12,COL1A1,C3,FBLN1"
50,386.47825,26.9802,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
51,393.41083,26.9802,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
52,400.3434,26.9802,0,0,1,1,1,1,4,"CXCL12,COL1A1,C3,FBLN1"
53,407.27597,26.9802,0,0,0,1,1,0,2,"COL1A1,C3"
54,414.20854,26.9802,0,0,0,1,1,0,2,"COL1A1,C3"
